date,currency_pair,direction,amount_yen_billions,source_url
1995-03-21,USD/JPY,sell_JPY_buy_USD,62.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-22,USD/JPY,sell_JPY_buy_USD,17.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-23,USD/JPY,sell_JPY_buy_USD,44.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-24,USD/JPY,sell_JPY_buy_USD,203.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-27,USD/JPY,sell_JPY_buy_USD,84.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-28,USD/JPY,sell_JPY_buy_USD,58.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-29,USD/JPY,sell_JPY_buy_USD,84.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-30,USD/JPY,sell_JPY_buy_USD,133.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-31,USD/JPY,sell_JPY_buy_USD,338.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-03,USD/JPY,sell_JPY_buy_USD,125.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-05,USD/JPY,sell_JPY_buy_USD,43.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-06,USD/JPY,sell_JPY_buy_USD,68.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-07,USD/JPY,sell_JPY_buy_USD,25.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-10,USD/JPY,sell_JPY_buy_USD,140.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-14,USD/JPY,sell_JPY_buy_USD,50.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-17,USD/JPY,sell_JPY_buy_USD,37.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-04-18,USD/JPY,sell_JPY_buy_USD,8.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-05-31,USD/JPY,sell_JPY_buy_USD,63.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-06-28,USD/JPY,sell_JPY_buy_USD,43.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-07-07,USD/JPY,sell_JPY_buy_USD,57.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-08-02,USD/JPY,sell_JPY_buy_USD,675.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-08-11,USD/JPY,sell_JPY_buy_USD,93.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-08-15,USD/JPY,sell_JPY_buy_USD,48.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-09-06,USD/JPY,sell_JPY_buy_USD,226.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-09-08,USD/JPY,sell_JPY_buy_USD,857.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-09-22,USD/JPY,sell_JPY_buy_USD,599.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1996-02-20,USD/JPY,sell_JPY_buy_USD,438.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
